架次编号,航段序号,起点,终点,航段开始_s,航段结束_s,payload_kg,distance_m,climb_m,descent_m,cruise_alt_m,time_s,horizontal_energy_kwh,climb_energy_kwh,energy_kwh
P002751-1,1,O01,S003,11410.194662162361,12128.831004905296,22.0,7269.199621124498,434.10413818359376,223.30413818359375,561.8041381835938,718.6363427429353,1.420866568535947,0.1429378313331604,1.5638043998691074
P002751-1,2,S003,O01,12338.831004905296,13071.520680981565,0.0,7269.199621124498,223.30413818359375,434.10413818359376,561.8041381835938,732.6896760762686,1.0384570887320712,0.05493436871634589,1.0933914574484171
P002841-1,1,O01,S008,11688.408156293475,12352.184764290963,22.0,8118.546464933021,245.20933227539064,102.00933227539065,372.9093322753906,663.7766079974879,1.5868832689099515,0.08074028117942811,1.6676235500893797
P002841-1,2,S008,O01,12562.184764290963,13235.508038955119,0.0,8118.546464933021,102.00933227539065,245.20933227539064,372.9093322753906,673.3232746641546,1.1597923521332887,0.0250950041378869,1.1848873562711755
P002731-1,1,O01,S002,13431.520680981565,14023.960299090462,22.0,7443.597475979177,181.25425415039064,89.45425415039062,308.9542541503906,592.4396181088982,1.454955064450586,0.059681739309310915,1.514636803759897
P002731-1,2,S002,O01,14233.960299090462,14832.51991719936,0.0,7443.597475979177,89.45425415039062,181.25425415039064,308.9542541503906,598.5596181088982,1.0633710679970252,0.02200636773109436,1.0853774357281196
P002731-2,1,O01,S002,13595.508038955119,14187.947657064016,22.0,7443.597475979177,181.25425415039064,89.45425415039062,308.9542541503906,592.4396181088982,1.454955064450586,0.059681739309310915,1.514636803759897
P002731-2,2,S002,O01,14397.947657064016,14996.507275172915,0.0,7443.597475979177,89.45425415039062,181.25425415039064,308.9542541503906,598.5596181088982,1.0633710679970252,0.02200636773109436,1.0853774357281196
P002826-1,1,O01,S007,15249.638885819159,15745.712585458718,14.0,4538.900569056266,384.27317504882814,163.47317504882812,511.9731750488281,496.07369963955836,0.751023744840694,0.114895010775884,0.865918755616578
P002826-1,2,S007,O01,15955.712585458718,16466.506285098276,0.0,4538.900569056266,163.47317504882812,384.27317504882814,511.9731750488281,510.79369963955844,0.648414367008038,0.040215536292394,0.6886299033004321
P002804-1,1,O01,S006,15498.262765044692,15810.55400762382,20.0,3184.5924057767584,238.39783935546876,51.29783935546874,366.09783935546875,312.29124257912764,0.5933647006266379,0.07669291602876452,0.6700576166554024
P002804-1,2,S006,O01,16020.55400762382,16345.31858353628,0.0,3184.5924057767584,51.29783935546874,238.39783935546876,366.09783935546875,324.764575912461,0.45494177225382265,0.012619624716440833,0.4675613969702635
P002786-1,1,O01,S005,16985.8594209775,17458.524225584486,20.0,5307.952293714175,198.710888671875,131.410888671875,326.410888671875,472.6648046069867,0.9889967450738726,0.06392556887308756,1.0529223139469601
P002786-1,2,S005,O01,17668.524225584486,18145.67569685814,0.0,5307.952293714175,131.410888671875,198.710888671875,326.410888671875,477.1514712736533,0.758278899102025,0.03232799118889702,0.790606890290922
P002706-1,1,O01,S001,17149.846778951054,17438.377547864126,12.0,3066.8388225144454,145.3566101074219,89.05661010742188,273.0566101074219,288.5307689130724,0.49139762870863635,0.042360348216374716,0.533757976925011
P002706-1,2,S001,O01,17648.377547864126,17940.66165011053,0.0,3066.8388225144454,89.05661010742188,145.3566101074219,273.0566101074219,292.2841022464057,0.4381198317877779,0.021908544535107082,0.460028376322885
P002789-1,1,O01,S005,18300.66165011053,18773.326454717517,22.0,5307.952293714175,198.710888671875,131.410888671875,326.410888671875,472.6648046069867,1.0375133927544402,0.06542969990539552,1.1029430926598358
P002789-1,2,S005,O01,18983.326454717517,19460.47792599117,0.0,5307.952293714175,131.410888671875,198.710888671875,326.410888671875,477.1514712736533,0.758278899102025,0.03232799118889702,0.790606890290922
P002771-1,1,O01,S004,18505.67569685814,19180.78633025122,22.0,7754.328672038799,270.53916625976564,169.9391662597656,398.2391662597656,675.1106333930813,1.5156918155778039,0.08908065672365825,1.604772472301462
P002771-1,2,S004,O01,19390.78633025122,20072.60363031097,0.0,7754.328672038799,169.9391662597656,270.53916625976564,398.2391662597656,681.817300059748,1.1077612388626856,0.041806215033001366,1.149567453895687
P002768-1,1,O01,S004,19820.47792599117,20495.58855938425,20.0,7754.328672038799,270.53916625976564,169.9391662597656,398.2391662597656,675.1106333930813,1.4448143827444018,0.08703282553460864,1.5318472082790104
P002768-1,2,S004,O01,20705.58855938425,21387.405859444,0.0,7754.328672038799,169.9391662597656,270.53916625976564,398.2391662597656,681.817300059748,1.1077612388626856,0.041806215033001366,1.149567453895687
P002751-2,1,O01,S003,20432.60363031097,21151.239973053904,22.0,7269.199621124498,434.10413818359376,223.30413818359375,561.8041381835938,718.6363427429353,1.420866568535947,0.1429378313331604,1.5638043998691074
P002751-2,2,S003,O01,21361.239973053904,22093.929649130172,0.0,7269.199621124498,223.30413818359375,434.10413818359376,561.8041381835938,732.6896760762686,1.0384570887320712,0.05493436871634589,1.0933914574484171
