架次编号,航段序号,起点,终点,航段开始_s,航段结束_s,payload_kg,distance_m,climb_m,descent_m,cruise_alt_m,time_s,horizontal_energy_kwh,climb_energy_kwh,energy_kwh
P002808-1,2,S006,O01,882.2912425791276,1207.0558184915885,0.0,3184.5924057767584,51.29783935546874,238.39783935546876,366.09783935546875,324.764575912461,0.45494177225382265,0.012619624716440833,0.4675613969702635
P002862-1,1,O01,S010,360.0,815.1792099198976,17.0,4783.786256708622,307.93653564453126,84.03653564453123,435.63653564453125,455.1792099198977,0.836284382738784,0.0955672484580146,0.9318516311967986
P002862-1,2,S010,O01,1025.1792099198976,1495.285086506462,0.0,4783.786256708622,84.03653564453123,307.93653564453126,435.63653564453125,470.10587658656436,0.6833980366726603,0.020673571355607767,0.7040716080282681
P007727-1,1,O01,S002,420.0,1033.4686604672966,37.0,7443.597475979177,181.25425415039064,89.45425415039062,308.9542541503906,613.4686604672967,2.7573316900769758,0.07333307968006135,2.8306647697570373
P007727-1,2,S002,O01,1357.4686604672966,1980.1173209345932,0.0,7443.597475979177,89.45425415039062,181.25425415039064,308.9542541503906,622.6486604672966,2.2903376849166697,0.023665309298515323,2.314002994215185
P013592-1,1,O01,S003,360.0,1129.907032440201,17.0,7269.199621124498,434.10413818359376,223.30413818359375,561.8041381835938,769.907032440201,2.3612228896315646,0.14277353497530623,2.503996424606871
P013592-1,2,S003,S007,1345.907032440201,1588.27849068133,3.0,2735.8807725427137,72.1993408203125,62.1993408203125,410.6993408203125,242.37145824112883,0.8451140533660747,0.019920249378204347,0.8650343027442791
P013592-1,3,S007,O01,1804.27849068133,2364.397719495693,0.0,4538.900569056266,163.47317504882812,384.27317504882814,511.9731750488281,560.119228814363,1.396584790478851,0.04324716902828217,1.4398319595071332
P002898-1,1,O01,S015,1567.0558184915885,2155.731834507707,11.0,6025.848431159745,444.09925537109376,97.29925537109375,571.7992553710938,588.6760160161184,0.9513620884631467,0.12774021637132432,1.079102304834471
P002898-1,2,S015,O01,2365.731834507707,2977.5278505238252,0.0,6025.848431159745,97.29925537109375,444.09925537109376,571.7992553710938,611.7960160161184,0.8608354901656778,0.023936292510562472,0.8847717826762403
P002777-1,1,O01,S004,1855.285086506462,2530.395719899543,9.0,7754.328672038799,270.53916625976564,169.9391662597656,398.2391662597656,675.1106333930813,1.1916811814315451,0.07576975399483575,1.2674509354263808
P002777-1,2,S004,O01,2740.395719899543,3422.213019959291,0.0,7754.328672038799,169.9391662597656,270.53916625976564,398.2391662597656,681.817300059748,1.1077612388626856,0.041806215033001366,1.149567453895687
P007813-1,1,O01,S006,2400.1173209345934,2733.4315367396325,37.0,3184.5924057767584,238.39783935546876,51.29783935546874,366.09783935546875,333.3142158050391,1.1796685122702215,0.09645262027617561,1.276121132546397
P007813-1,2,S006,O01,3057.4315367396325,3409.4557525446717,0.0,3184.5924057767584,51.29783935546874,238.39783935546876,366.09783935546875,352.02421580503915,0.9798745863928487,0.013570950271987913,0.9934455366648367
P000128-1,1,O01,S013,2349.971351327395,2863.969019838414,22.0,4854.131973304105,271.48182373046876,47.48182373046876,399.18182373046875,513.9976685110191,1.0465283417545523,0.09452846279059517,1.1410568045451475
P000128-1,2,S013,O01,3073.969019838414,3602.9000216827667,0.0,4854.131973304105,47.48182373046876,271.48182373046876,399.18182373046875,528.9310018443524,0.8737437551947388,0.012579385939704051,0.8863231411344429
P000099-1,1,O01,S008,2471.7960112916944,3270.881727038066,17.0,8118.546464933021,245.20933227539064,102.00933227539065,372.9093322753906,799.0857157463715,1.6459265082906098,0.08074028117942811,1.726666789470038
P000099-1,2,S008,O01,3480.881727038066,4289.514109451105,0.0,8118.546464933021,102.00933227539065,245.20933227539064,372.9093322753906,808.6323824130383,1.4613383636879438,0.027025389071570514,1.4883637527595144
P007706-1,1,O01,S001,2814.397719495693,3121.5245900933355,48.0,3066.8388225144454,145.3566101074219,89.05661010742188,273.0566101074219,307.1268705976427,1.2586170555542995,0.06486084486637117,1.3234779004206707
P007706-1,2,S001,O01,3481.5245900933355,3794.2814606909783,0.0,3066.8388225144454,89.05661010742188,145.3566101074219,273.0566101074219,312.7568705976427,0.9436427146198294,0.02356011173852285,0.9672028263583523
P004078-1,1,O01,S015,3337.5278505238252,3926.2038665399436,20.0,6025.848431159745,444.09925537109376,97.29925537109375,571.7992553710938,588.6760160161184,1.1227577331060319,0.14286734725740222,1.2656250803634341
P004078-1,2,S015,S001,4106.203866539943,4679.166114095622,6.0,5500.466672319561,122.815185546875,413.315185546875,597.315185546875,572.9622475556791,0.81710261593996,0.03300231669955783,0.8501049326395178
P004078-1,3,S001,O01,4859.166114095622,5151.4502163420275,0.0,3066.8388225144454,89.05661010742188,145.3566101074219,273.0566101074219,292.2841022464057,0.4381198317877779,0.021908544535107082,0.460028376322885
P000067-1,1,O01,S005,3511.5183990692544,4072.649075238144,9.0,5307.952293714175,198.710888671875,131.410888671875,326.410888671875,561.1306761688895,0.9985696204729844,0.05941317577616374,1.0579827962491481
P000067-1,2,S005,O01,4282.649075238144,4848.2664180737,0.0,5307.952293714175,131.410888671875,198.710888671875,326.410888671875,565.6173428355562,0.9554314128685514,0.034814759741889106,0.9902461726104405
